Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;58;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;43;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;30;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;65;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Male;25;IDP;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;33;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Male;66;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;10;Protection;Chernihivska;Chernihivskyi;Tupychivska;Vykhvosiv;31.07.2023;Stigma and barriers to access to psychological help;ukrainian;Valeriia Yakubenko, Mykola Hlova;Rural;Male;40;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;78;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;73;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;69;IDP;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;77;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;66;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;68;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;65;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;70;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;70;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;63;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;60;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;65;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;45;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;11;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;03.08.2023;Sex & Gender;ukrainian;Iryna Nesterenko, Olga Kaminska;Urban;Female;68;Conflict affected;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;12;Protection;Chernihivska;Chernihivskyi;Kiptivska;Nadynivka;09.08.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;54;Host community;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;12;Protection;Chernihivska;Chernihivskyi;Kiptivska;Nadynivka;09.08.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;70;Host community;YES;
CHJ - Chernihiv;ECHO 2023;UKR-000322;12;Protection;Chernihivska;Chernihivskyi;Kiptivska;Nadynivka;09.08.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;73;Host community;YES;
