Area code;Donor;Project Code;Session No;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;36;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;45;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;59;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;46;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;60;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;40;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;50;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;1;Chernihivska;Chernihivskyi;Mykhajlo-Kotsiubynska;L'hiv;20 December 2022;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;49;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;46;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;59;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;43;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;53;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;56;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;55;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;53;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Male;54;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;63;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;58;Host community;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;57;IDP;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;73;IDP;
CEJ - Chernihiv;ECHO;UKR-000269;2;Chernihivska;Koriukivskyi;Menska;Semenivka;21 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Male;45;IDP;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;67;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;45;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;59;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;75;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;65;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;64;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;47;Conflict affected;
CEJ - Chernihiv;ECHO;UKR-000269;3;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;22 December 2022;Recreation;Ukrainian;Valeriia Yakubenko, Olga Kaminska;Rural;Female;37;Conflict affected;
