Area code;Donor;Project Code;Session No;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;52;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;46;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;61;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;88;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;85;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;71;Chernihivska;Chernihivskyi;Kiptivska;Halchyn;02 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;50;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;69;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;72;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;62;IDP Returnee;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;57;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;32;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;63;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;70;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;72;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;72;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;53;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;43;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;80;Chernihivska;Koriukivskyi;Menska;Mena;27 June 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Urban;Female;34;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;66;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;64;IDP;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;50;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;64;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;66;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;85;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;10 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;54;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;86;Chernihivska;Koriukivskyi;Menska;Syniavka;11 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;60;Conflict affected;
CEJ - Chernihiv;ECHO 2023;UKR-000322;86;Chernihivska;Koriukivskyi;Menska;Syniavka;11 July 2023;Recreation;Ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;20;Conflict affected;
