_ID;Project;Payment Done;Amount
366906310;BHA - UKR-000284;YES;6660
366921846;BHA - UKR-000284;YES;13320
366921910;BHA - UKR-000284;YES;13320
366921928;BHA - UKR-000284;YES;13320
366921945;BHA - UKR-000284;YES;13320
366922076;BHA - UKR-000284;YES;13320
366922112;BHA - UKR-000284;YES;13320
366922161;BHA - UKR-000284;YES;6660
366922240;BHA - UKR-000284;YES;13320
366922475;BHA - UKR-000284;YES;6660
366922686;BHA - UKR-000284;YES;13320
366922727;BHA - UKR-000284;YES;13320
370204265;BHA - UKR-000284;YES;33300
365110899;BHA - UKR-000284;YES;13320
365110907;BHA - UKR-000284;YES;19980
365110916;BHA - UKR-000284;YES;19980
365110925;BHA - UKR-000284;YES;33300
365110933;BHA - UKR-000284;YES;26640
365110944;BHA - UKR-000284;YES;33300
365110954;BHA - UKR-000284;YES;6660
365110969;BHA - UKR-000284;YES;13320
365110980;BHA - UKR-000284;YES;6660
365110989;BHA - UKR-000284;YES;19980
365111000;BHA - UKR-000284;YES;19980
365111010;BHA - UKR-000284;YES;19980
365111018;BHA - UKR-000284;YES;19980
365111054;BHA - UKR-000284;YES;46620
365111080;BHA - UKR-000284;YES;6660
365111091;BHA - UKR-000284;YES;13320
365111102;BHA - UKR-000284;YES;26640
365111117;BHA - UKR-000284;YES;6660
365111128;BHA - UKR-000284;YES;13320
366905684;BHA - UKR-000284;YES;19980
366905690;BHA - UKR-000284;YES;13320
366905717;BHA - UKR-000284;YES;13320
366905733;BHA - UKR-000284;YES;6660
366905741;BHA - UKR-000284;YES;6660
366905750;BHA - UKR-000284;YES;19980
366905771;BHA - UKR-000284;YES;13320
366905782;BHA - UKR-000284;YES;6660
366905792;BHA - UKR-000284;YES;13320
366905802;BHA - UKR-000284;YES;13320
366905832;BHA - UKR-000284;YES;13320
366905861;BHA - UKR-000284;YES;26640
366905885;BHA - UKR-000284;YES;6660
366905889;BHA - UKR-000284;YES;13320
366905965;BHA - UKR-000284;YES;13320
366905976;BHA - UKR-000284;YES;6660
366906004;BHA - UKR-000284;YES;6660
366906107;BHA - UKR-000284;YES;19980
366906128;BHA - UKR-000284;YES;6660
366906201;BHA - UKR-000284;YES;59940
366906248;BHA - UKR-000284;YES;26640
366906291;BHA - UKR-000284;YES;13320
366921482;BHA - UKR-000284;YES;13320
366921731;BHA - UKR-000284;YES;6660
366921801;BHA - UKR-000284;YES;13320
353693245;BHA - UKR-000284;YES;13320
353693299;BHA - UKR-000284;YES;13320
353693283;BHA - UKR-000284;YES;19980
353693266;BHA - UKR-000284;YES;19980
353693302;BHA - UKR-000284;YES;19980
353693276;BHA - UKR-000284;YES;6660
353693253;BHA - UKR-000284;YES;6660
353693258;BHA - UKR-000284;YES;6660
353693271;BHA - UKR-000284;YES;13320
353693309;BHA - UKR-000284;YES;6660
353698657;BHA - UKR-000284;YES;13320
353698697;BHA - UKR-000284;YES;39960
353698607;BHA - UKR-000284;YES;19980
353698649;BHA - UKR-000284;YES;13320
353698688;BHA - UKR-000284;YES;33300
353698636;BHA - UKR-000284;YES;13320
353698683;BHA - UKR-000284;YES;6660
353693622;BHA - UKR-000284;YES;13320
353698616;BHA - UKR-000284;YES;6660
353698603;BHA - UKR-000284;YES;6660
353693441;BHA - UKR-000284;YES;19980
353693393;BHA - UKR-000284;YES;13320
353693483;BHA - UKR-000284;YES;13320
353693400;BHA - UKR-000284;YES;33300
353693193;BHA - UKR-000284;YES;19980
353693639;BHA - UKR-000284;YES;19980
353693165;BHA - UKR-000284;YES;26640
353693582;BHA - UKR-000284;YES;19980
353693239;BHA - UKR-000284;YES;13320
353693225;BHA - UKR-000284;YES;13320
353698587;BHA - UKR-000284;YES;13320
353693331;BHA - UKR-000284;YES;33300
353693200;BHA - UKR-000284;YES;19980
353693463;BHA - UKR-000284;YES;26640
353693418;BHA - UKR-000284;YES;33300
353693744;BHA - UKR-000284;YES;19980
353698515;BHA - UKR-000284;YES;33300
353698550;BHA - UKR-000284;YES;13320
353693487;BHA - UKR-000284;YES;33300
353693338;BHA - UKR-000284;YES;19980
353693175;BHA - UKR-000284;YES;26640
353698504;BHA - UKR-000284;YES;13320
353698530;BHA - UKR-000284;YES;33300
353698567;BHA - UKR-000284;YES;39960
353693213;BHA - UKR-000284;YES;19980
353693671;BHA - UKR-000284;YES;19980
353693307;BHA - UKR-000284;YES;26640
353693689;BHA - UKR-000284;YES;19980
353693154;BHA - UKR-000284;YES;13320
353693431;BHA - UKR-000284;YES;26640
353698520;BHA - UKR-000284;YES;13320
353693771;BHA - UKR-000284;YES;13320
353698592;BHA - UKR-000284;YES;13320
353693733;BHA - UKR-000284;YES;13320
353698537;BHA - UKR-000284;YES;26640
351013359;BHA - UKR-000284;YES;33300
353693525;BHA - UKR-000284;YES;19980
353693415;BHA - UKR-000284;YES;13320
353693728;BHA - UKR-000284;YES;13320
353693547;BHA - UKR-000284;YES;6660
353693657;BHA - UKR-000284;YES;39960
353693180;BHA - UKR-000284;YES;19980
353693680;BHA - UKR-000284;YES;26640
353693517;BHA - UKR-000284;YES;13320
353693423;BHA - UKR-000284;YES;6660
353693218;BHA - UKR-000284;YES;26640
353693454;BHA - UKR-000284;YES;13320
353693188;BHA - UKR-000284;YES;6660
353693427;BHA - UKR-000284;YES;6660
353693473;BHA - UKR-000284;YES;6660
353693508;BHA - UKR-000284;YES;6660
353693568;BHA - UKR-000284;YES;6660
353693408;BHA - UKR-000284;YES;13320
353693532;BHA - UKR-000284;YES;6660
353693468;BHA - UKR-000284;YES;13320
353693208;BHA - UKR-000284;YES;6660
353693324;BHA - UKR-000284;YES;6660
353693222;BHA - UKR-000284;YES;13320
353693593;BHA - UKR-000284;YES;6660
353693761;BHA - UKR-000284;YES;13320
353693749;BHA - UKR-000284;YES;6660
353693313;BHA - UKR-000284;YES;6660
353693495;BHA - UKR-000284;YES;6660
340418605;BHA - UKR-000284;YES;6660
340418616;BHA - UKR-000284;YES;6660
340418617;BHA - UKR-000284;YES;6660
340418623;BHA - UKR-000284;YES;13320
340418624;BHA - UKR-000284;YES;13320
340418630;BHA - UKR-000284;YES;6660
340418636;BHA - UKR-000284;YES;13320
340418639;BHA - UKR-000284;YES;13320
340418645;BHA - UKR-000284;YES;13320
340418646;BHA - UKR-000284;YES;19980
340418653;BHA - UKR-000284;YES;13320
340418655;BHA - UKR-000284;YES;33300
340418660;BHA - UKR-000284;YES;6660
340418661;BHA - UKR-000284;YES;19980
340418667;BHA - UKR-000284;YES;19980
340951582;BHA - UKR-000284;YES;6660
340951591;BHA - UKR-000284;YES;6660
340951600;BHA - UKR-000284;YES;13320
340951612;BHA - UKR-000284;YES;19980
341329081;BHA - UKR-000284;YES;19980
341329092;BHA - UKR-000284;YES;13320
341329100;BHA - UKR-000284;YES;33300
341329103;BHA - UKR-000284;YES;13320
341329107;BHA - UKR-000284;YES;33300
341329111;BHA - UKR-000284;YES;13320
341329115;BHA - UKR-000284;YES;6660
341329120;BHA - UKR-000284;YES;19980
341329128;BHA - UKR-000284;YES;19980
341329134;BHA - UKR-000284;YES;13320
341329140;BHA - UKR-000284;YES;33300
341329144;BHA - UKR-000284;YES;33300
341329147;BHA - UKR-000284;YES;13320
341509865;BHA - UKR-000284;YES;13320
341509877;BHA - UKR-000284;YES;6660
341509887;BHA - UKR-000284;YES;6660
341509893;BHA - UKR-000284;YES;46620
341509899;BHA - UKR-000284;YES;26640
341509910;BHA - UKR-000284;YES;6660
341509926;BHA - UKR-000284;YES;19980
341509941;BHA - UKR-000284;YES;39960
341509951;BHA - UKR-000284;YES;13320
341509954;BHA - UKR-000284;YES;26640
341509969;BHA - UKR-000284;YES;19980
341509980;BHA - UKR-000284;YES;19980
341553255;BHA - UKR-000284;YES;26640
341553269;BHA - UKR-000284;YES;26640
341553279;BHA - UKR-000284;YES;26640
341553292;BHA - UKR-000284;YES;13320
341553311;BHA - UKR-000284;YES;19980
341553321;BHA - UKR-000284;YES;13320
341553333;BHA - UKR-000284;YES;19980
341553342;BHA - UKR-000284;YES;19980
341553350;BHA - UKR-000284;YES;26640
341553361;BHA - UKR-000284;YES;13320
341553382;BHA - UKR-000284;YES;33300
341564356;BHA - UKR-000284;YES;39960
341564388;BHA - UKR-000284;YES;19980
341564429;BHA - UKR-000284;YES;6660
341564479;BHA - UKR-000284;YES;19980
341807412;BHA - UKR-000284;YES;33300
341807438;BHA - UKR-000284;YES;6660
341807457;BHA - UKR-000284;YES;13320
341807477;BHA - UKR-000284;YES;19980
341807494;BHA - UKR-000284;YES;6660
341808984;BHA - UKR-000284;YES;13320
341808993;BHA - UKR-000284;YES;13320
341809008;BHA - UKR-000284;YES;19980
341809016;BHA - UKR-000284;YES;13320
341809033;BHA - UKR-000284;YES;6660
341809063;BHA - UKR-000284;YES;19980
341809081;BHA - UKR-000284;YES;6660
341903234;BHA - UKR-000284;YES;26640
341935196;BHA - UKR-000284;YES;6660
341935207;BHA - UKR-000284;YES;6660
341935240;BHA - UKR-000284;YES;6660
341935251;BHA - UKR-000284;YES;13320
341935261;BHA - UKR-000284;YES;6660
341935336;BHA - UKR-000284;YES;13320
341935386;BHA - UKR-000284;YES;6660
341935406;BHA - UKR-000284;YES;6660
341937449;BHA - UKR-000284;YES;6660
341937521;BHA - UKR-000284;YES;6660
341937540;BHA - UKR-000284;YES;13320
341937553;BHA - UKR-000284;YES;39960
341937572;BHA - UKR-000284;YES;13320
341937631;BHA - UKR-000284;YES;19980
341937642;BHA - UKR-000284;YES;19980
341937664;BHA - UKR-000284;YES;19980
341937675;BHA - UKR-000284;YES;13320
341937684;BHA - UKR-000284;YES;19980
341937719;BHA - UKR-000284;YES;26640
343068262;BHA - UKR-000284;YES;19980
343068272;BHA - UKR-000284;YES;6660
343068275;BHA - UKR-000284;YES;13320
343068279;BHA - UKR-000284;YES;19980
343068282;BHA - UKR-000284;YES;13320
343068284;BHA - UKR-000284;YES;6660
343068530;BHA - UKR-000284;YES;19980
343068534;BHA - UKR-000284;YES;6660
343068540;BHA - UKR-000284;YES;6660
343068543;BHA - UKR-000284;YES;6660
343068554;BHA - UKR-000284;YES;6660
343068561;BHA - UKR-000284;YES;13320
343068574;BHA - UKR-000284;YES;6660
343320251;BHA - UKR-000284;YES;6660
343320258;BHA - UKR-000284;YES;19980
343320263;BHA - UKR-000284;YES;19980
343320275;BHA - UKR-000284;YES;6660
343320286;BHA - UKR-000284;YES;13320
343320296;BHA - UKR-000284;YES;6660
343320309;BHA - UKR-000284;YES;13320
343320321;BHA - UKR-000284;YES;6660
343340886;BHA - UKR-000284;YES;13320
343345761;BHA - UKR-000284;YES;6660
344004031;BHA - UKR-000284;YES;6660
344004073;BHA - UKR-000284;YES;13320
344004350;BHA - UKR-000284;YES;19980
344160309;BHA - UKR-000284;YES;19980
365110894;BHA - UKR-000284;YES;6660
365110884;BHA - UKR-000284;YES;26640
365110870;BHA - UKR-000284;YES;6660
365110861;BHA - UKR-000284;YES;19980
365110847;BHA - UKR-000284;YES;13320
365110840;BHA - UKR-000284;YES;93240
365110822;BHA - UKR-000284;YES;6660
365102416;BHA - UKR-000284;YES;19980
365102376;BHA - UKR-000284;YES;13320
365102330;BHA - UKR-000284;YES;6660
365102312;BHA - UKR-000284;YES;39960
365102279;BHA - UKR-000284;YES;19980
365101115;BHA - UKR-000284;YES;19980
365101090;BHA - UKR-000284;YES;6660
365101066;BHA - UKR-000284;YES;6660
365101044;BHA - UKR-000284;YES;19980
365101027;BHA - UKR-000284;YES;19980
365099941;BHA - UKR-000284;YES;6660
365099867;BHA - UKR-000284;YES;19980
365099822;BHA - UKR-000284;YES;19980
365099731;BHA - UKR-000284;YES;19980
365099725;BHA - UKR-000284;YES;46620
365099676;BHA - UKR-000284;YES;13320
365099648;BHA - UKR-000284;YES;19980
365099639;BHA - UKR-000284;YES;13320
365099608;BHA - UKR-000284;YES;19980
365099595;BHA - UKR-000284;YES;13320
365099581;BHA - UKR-000284;YES;13320
365099569;BHA - UKR-000284;YES;6660
365099553;BHA - UKR-000284;YES;6660
365099511;BHA - UKR-000284;YES;13320
365099474;BHA - UKR-000284;YES;33300
365099322;BHA - UKR-000284;YES;13320
365099287;BHA - UKR-000284;YES;19980
365099156;BHA - UKR-000284;YES;13320
365098914;BHA - UKR-000284;YES;19980
365098854;BHA - UKR-000284;YES;19980
365098826;BHA - UKR-000284;YES;33300
365098705;BHA - UKR-000284;YES;6660
365098631;BHA - UKR-000284;YES;33300
365098301;BHA - UKR-000284;YES;13320
363081275;BHA - UKR-000284;YES;19980
363081245;BHA - UKR-000284;YES;6660
363081218;BHA - UKR-000284;YES;6660
363081205;BHA - UKR-000284;YES;6660
363081200;BHA - UKR-000284;YES;13320
363081038;BHA - UKR-000284;YES;46620
363081022;BHA - UKR-000284;YES;19980
363081012;BHA - UKR-000284;YES;19980
363080995;BHA - UKR-000284;YES;13320
363080979;BHA - UKR-000284;YES;13320
363080968;BHA - UKR-000284;YES;26640
363080961;BHA - UKR-000284;YES;19980
363080951;BHA - UKR-000284;YES;6660
