_ID;Project;Payment Done; Amount ;Program
346050996;UKR-000284 BHA;YES;26 640;MPCA
345968701;UKR-000284 BHA;YES;13 320;MPCA
345976248;UKR-000284 BHA;YES;13 320;MPCA
345988376;UKR-000284 BHA;YES;6 660;MPCA
345998474;UKR-000284 BHA;YES;33 300;MPCA
346015786;UKR-000284 BHA;YES;13 320;MPCA
346021489;UKR-000284 BHA;YES;6 660;MPCA
346030657;UKR-000284 BHA;YES;19 980;MPCA
346047696;UKR-000284 BHA;YES;6 660;MPCA
346056892;UKR-000284 BHA;YES;6 660;MPCA
346294764;UKR-000284 BHA;YES;13 320;MPCA
346285102;UKR-000284 BHA;YES;19 980;MPCA
346292231;UKR-000284 BHA;NO;19 980;MPCA
346296638;UKR-000284 BHA;YES;19 980;MPCA
346304392;UKR-000284 BHA;YES;26 640;MPCA
346300151;UKR-000284 BHA;YES;26 640;MPCA
346336055;UKR-000284 BHA;YES;19 980;MPCA
346322168;UKR-000284 BHA;NO;46 620;MPCA
346334139;UKR-000284 BHA;YES;33 300;MPCA
346366634;UKR-000284 BHA;NO;26 640;MPCA
346341503;UKR-000284 BHA;YES;13 320;MPCA
346352249;UKR-000284 BHA;YES;26 640;MPCA
346386436;UKR-000284 BHA;YES;26 640;MPCA
346377369;UKR-000284 BHA;YES;19 980;MPCA
346384251;UKR-000284 BHA;YES;26 640;MPCA
346401454;UKR-000284 BHA;YES;13 320;MPCA
346391854;UKR-000284 BHA;YES;26 640;MPCA
346405001;UKR-000284 BHA;YES;19 980;MPCA
346407163;UKR-000284 BHA;YES;26 640;MPCA
346464683;UKR-000284 BHA;YES;13 320;MPCA
346448903;UKR-000284 BHA;YES;6 660;MPCA
346457378;UKR-000284 BHA;YES;6 660;MPCA
346478965;UKR-000284 BHA;YES;6 660;MPCA
346469787;UKR-000284 BHA;YES;13 320;MPCA
346500642;UKR-000284 BHA;NO;13 320;MPCA
346782746;UKR-000284 BHA;NO;26 640;MPCA
346522458;UKR-000284 BHA;YES;6 660;MPCA
346751036;UKR-000284 BHA;YES;13 320;MPCA
346764333;UKR-000284 BHA;YES;26 640;MPCA
346822808;UKR-000284 BHA;NO;39 960;MPCA
346788662;UKR-000284 BHA;YES;33 300;MPCA
346818770;UKR-000284 BHA;YES;13 320;MPCA
346827877;UKR-000284 BHA;YES;6 660;MPCA
346836751;UKR-000284 BHA;YES;13 320;MPCA
346833629;UKR-000284 BHA;YES;6 660;MPCA
346838887;UKR-000284 BHA;YES;13 320;MPCA
346860959;UKR-000284 BHA;NO;33 300;MPCA
346845491;UKR-000284 BHA;YES;26 640;MPCA
346886005;UKR-000284 BHA;YES;26 640;MPCA
346871619;UKR-000284 BHA;NO;26 640;MPCA
346880537;UKR-000284 BHA;YES;19 980;MPCA
346901945;UKR-000284 BHA;NO;13 320;MPCA
346893977;UKR-000284 BHA;YES;19 980;MPCA
346903984;UKR-000284 BHA;YES;19 980;MPCA
346918134;UKR-000284 BHA;YES;13 320;MPCA
346909456;UKR-000284 BHA;YES;19 980;MPCA
346922952;UKR-000284 BHA;YES;6 660;MPCA
346924886;UKR-000284 BHA;YES;13 320;MPCA
346931739;UKR-000284 BHA;YES;26 640;MPCA
346940349;UKR-000284 BHA;YES;13 320;MPCA
347191172;UKR-000284 BHA;NO;26 640;MPCA
346948739;UKR-000284 BHA;YES;19 980;MPCA
346960258;UKR-000284 BHA;YES;19 980;MPCA
347194270;UKR-000284 BHA;YES;13 320;MPCA
347194988;UKR-000284 BHA;YES;13 320;MPCA
347197469;UKR-000284 BHA;YES;19 980;MPCA
347202654;UKR-000284 BHA;YES;26 640;MPCA
347210393;UKR-000284 BHA;YES;13 320;MPCA
347211791;UKR-000284 BHA;YES;19 980;MPCA
347217174;UKR-000284 BHA;YES;13 320;MPCA
347634336;UKR-000284 BHA;YES;13 320;MPCA
347245459;UKR-000284 BHA;YES;6 660;MPCA
347250193;UKR-000284 BHA;YES;19 980;MPCA
347254695;UKR-000284 BHA;YES;13 320;MPCA
347260309;UKR-000284 BHA;YES;13 320;MPCA
347273205;UKR-000284 BHA;YES;26 640;MPCA
347308524;UKR-000284 BHA;NO;13 320;MPCA
347312638;UKR-000284 BHA;YES;13 320;MPCA
347319519;UKR-000284 BHA;YES;13 320;MPCA
347327251;UKR-000284 BHA;YES;13 320;MPCA
347343433;UKR-000284 BHA;YES;19 980;MPCA
347637816;UKR-000284 BHA;YES;19 980;MPCA
347655780;UKR-000284 BHA;YES;13 320;MPCA
347658542;UKR-000284 BHA;YES;19 980;MPCA
347660637;UKR-000284 BHA;YES;6 660;MPCA
347665114;UKR-000284 BHA;YES;13 320;MPCA
348660750;UKR-000284 BHA;YES;19 980;MPCA
348516539;UKR-000284 BHA;NO;13 320;MPCA
348521122;UKR-000284 BHA;NO;26 640;MPCA
348538568;UKR-000284 BHA;YES;26 640;MPCA
348540428;UKR-000284 BHA;YES;19 980;MPCA
348542045;UKR-000284 BHA;YES;6 660;MPCA
348650537;UKR-000284 BHA;YES;26 640;MPCA
348659504;UKR-000284 BHA;YES;26 640;MPCA
348665763;UKR-000284 BHA;YES;13 320;MPCA
348676450;UKR-000284 BHA;YES;26 640;MPCA
348693766;UKR-000284 BHA;YES;13 320;MPCA
348698023;UKR-000284 BHA;YES;13 320;MPCA
348706269;UKR-000284 BHA;YES;19 980;MPCA
348713914;UKR-000284 BHA;YES;6 660;MPCA
348716747;UKR-000284 BHA;YES;19 980;MPCA
348743796;UKR-000284 BHA;YES;19 980;MPCA
348745622;UKR-000284 BHA;YES;13 320;MPCA
348805493;UKR-000284 BHA;YES;19 980;MPCA
348750747;UKR-000284 BHA;YES;13 320;MPCA
348809668;UKR-000284 BHA;YES;6 660;MPCA
348822485;UKR-000284 BHA;YES;19 980;MPCA
348817836;UKR-000284 BHA;YES;13 320;MPCA
348826697;UKR-000284 BHA;YES;6 660;MPCA
348843914;UKR-000284 BHA;YES;19 980;MPCA
348832853;UKR-000284 BHA;NO;13 320;MPCA
348849214;UKR-000284 BHA;YES;13 320;MPCA
349147169;UKR-000284 BHA;YES;19 980;MPCA
348855326;UKR-000284 BHA;YES;19 980;MPCA
348866487;UKR-000284 BHA;YES;13 320;MPCA
348881660;UKR-000284 BHA;YES;26 640;MPCA
348892319;UKR-000284 BHA;YES;6 660;MPCA
349139487;UKR-000284 BHA;YES;6 660;MPCA
